baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001172438.2	590.759467925332	-0.909448741802868	0.22258795167987	-4.08579500794748	4.39261483813842e-05	0.0173363684499995
NM_001173486.1	151.123281759541	1.39001313749711	0.372003774457735	3.73655654307087	0.000186557513040985	0.0437425737773072
NM_001178006.2	254.278572185951	1.83583297341079	0.448791543867135	4.09061400219763	4.30232666095868e-05	0.0173363684499995
NM_001184961.1	590.759467925332	-0.909448741802868	0.22258795167987	-4.08579500794748	4.39261483813842e-05	0.0173363684499995
NM_001184962.1	590.759467925332	-0.909448741802868	0.22258795167987	-4.08579500794748	4.39261483813842e-05	0.0173363684499995
NM_001199579.1	174.530573540227	2.16412175802913	0.576427543560897	3.75436910016514	0.000173778631262033	0.0427993867738453
NM_001199580.1	175.438738108418	2.17235200604951	0.574240510856029	3.78300026727677	0.000154949248014155	0.0403515783496535
NM_001199922.1	73.1638218910009	-1.65716845724927	0.3146841488517	-5.26613260723925	1.39327660279553e-07	0.000402416281340153
NM_001206974.1	706.305244832792	1.15741451644565	0.281549078272004	4.11088014760779	3.94153767886111e-05	0.0172361734010242
NM_001251851.1	59.8801476978465	2.58102217516976	0.592802742941745	4.35393089168517	1.33717876327419e-05	0.00791969470658209
NM_001251852.1	59.7371713637578	2.5773185060175	0.591919340050324	4.35417181300138	1.33570919645167e-05	0.00791969470658209
NM_001251853.1	59.4635975511996	2.57017808126444	0.590509315992065	4.35247677159251	1.34608137658693e-05	0.00791969470658209
NM_001251855.1	59.1514297277417	2.60795641506203	0.595767321854665	4.37747476136033	1.20062258903924e-05	0.00786494438687953
NM_001255.2	3097.00897164527	1.56104288130904	0.326321218727574	4.78376149548601	1.72044814709829e-06	0.00248456173097544
NM_001258.2	69.2650069378931	1.5899684732551	0.423280412701378	3.75630061194638	0.000172443540834988	0.0427993867738453
NM_001258311.1	623.477398773916	1.46070599426145	0.292386672875275	4.99580223646017	5.85916810777883e-07	0.000979745420801269
NM_001282606.1	186.51461347863	-1.31337347170205	0.293568698543764	-4.47381985278739	7.6834482080309e-06	0.00581216269088928
NM_001282609.1	178.18192898194	-1.38202264259432	0.303503603164502	-4.55356255472606	5.2744977780242e-06	0.00459112517549608
NM_001282610.1	177.895976313763	-1.38742734037023	0.30562510803947	-4.53963795471624	5.63509018242589e-06	0.00482805835832528
NM_001286843.1	375.018039089967	1.02852513099601	0.258938295132569	3.97208582249076	7.1246040665716e-05	0.0242091760212884
NM_001297655.1	643.21439910117	1.25079950717769	0.324716936225537	3.85196880001642	0.000117171954739507	0.0366765534387083
NM_001297656.1	587.713588937192	1.23839301221025	0.327078599588811	3.78622451535227	0.000152953489891838	0.0402525694259241
NM_001297657.1	586.994448813846	1.23834034003125	0.327202226417806	3.78463298856045	0.00015393557600484	0.0402525694259241
NM_001300844.1	530.9344935608	1.13757365580578	0.301988851597919	3.76693924224858	0.00016526119933352	0.0424990261996396
NM_001300855.1	533.691433994406	1.14468413359022	0.304230724973665	3.76255269315519	0.000168187857520804	0.0424990261996396
NM_001300857.1	480.49224956655	1.06300407045774	0.288222886430959	3.68813206897214	0.000225906392967734	0.0486389740690825
NM_001305008.1	271.391179298271	-1.13531364958791	0.271219164144223	-4.18596397186813	2.83958390325651e-05	0.0136691545742973
NM_001305009.1	275.400378513303	-1.12304271951955	0.272708605793483	-4.11810517035906	3.82000365919358e-05	0.0168562967022555
NM_001305010.1	263.099924703172	-1.15838163394154	0.266298119187115	-4.34994297923523	1.36172936472748e-05	0.00793825754986364
NM_001305011.1	258.984521302198	-1.15873527550708	0.263936674850357	-4.39020183975584	1.13245495883192e-05	0.00762529554751489
NM_001308043.1	274.836959236357	0.968400709494869	0.238215405377697	4.06523124715399	4.7984860283509e-05	0.0182578083361361
NM_001318765.1	62.6821765016892	-1.49182164786152	0.369071917800786	-4.04208929454981	5.29770496283804e-05	0.0196276500421342
NM_001318881.1	81.2757547050986	-1.79686943287669	0.318083243757398	-5.64905403897088	1.61333139209939e-08	9.31948211970725e-05
