Gene_ID	DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
LOC105375012	0	1	0	0
MICC	0	0	0	0
UBQLN1P1	0	0	0	0
HLA-N	2	0	4	6
RPP21	5	3	7	4
TRIM39-RPP21	3	0	0	0
TRIM39	1006	935	983	1104
HCG18	4021	3614	3301	3482
HLA-L	98	89	96	132
HCG17	27	35	21	27
PAIP1P1	147	92	103	105
TRIM26	12249	11154	11657	12501
TRIM15	168	140	148	155
TRIM10	38	18	21	24
TRIM40	19	8	18	2
LOC124900227	0	0	0	2
TRIM31-AS1	8	22	12	20
TRIM31	3	2	0	8
RNF39	436	449	418	474
PPP1R11	4339	4239	3789	4084
POLR1H	2086	2124	1951	2222
ETF1P1	0	0	0	0
HLA-J	0	1	0	6
HCG4P3	39	35	40	33
ZNRD1ASP	418	364	365	398
LOC353007	12	3	9	6
MCCD1P2	5	3	4	9
DDX39BP2	0	0	0	0
HCG9	5	5	3	13
MICD	29	31	25	31
HLA-A	13145	12759	12569	12956
HLA-K	20	2	19	4
HCG4B	11	22	15	7
LOC353008	4	3	2	2
MCCD1P1	4	4	2	0
DDX39BP1	0	0	0	0
HLA-H	131	152	124	166
HCP5B	2	2	2	2
MICF	1	0	0	0
LOC105375010	1	0	0	0
HCGVIII-2	0	0	0	0
HLA-G	1	0	0	0
MICG	0	0	0	2
RPL7AP7	0	0	0	0
HLA-P	2	2	0	0
HCG4P9	2	0	0	1
HLA-V	71	77	111	98
HCG4	24	13	36	23
LOC353010	0	0	0	0
LOC105379663	0	0	0	0
IFITM4P	11	9	14	9
HCG9P5	2	0	0	0
MICE	222	259	314	321
HLA-F-AS1	176	178	173	132
RPL23AP1	2	2	0	0
HLA-F	1171	1118	1150	1148
ZDHHC20P1	4	2	0	5
ZFP57	48	34	22	19
MOG	0	0	0	0
SUMO2P1	279	284	214	208
GABBR1	2292	2287	2216	2917
OR2I1P	0	0	0	0
GPR53P	0	0	0	0
LINC01015	0	0	0	0
LINC02829	0	0	0	0
RPS17P1	0	0	0	0
MAS1L	0	0	0	0
LOC124905400	0	0	0	0
LOC105375008	0	0	0	0
MAS1LP1	0	0	0	0
UBDP1	0	0	0	0
OR2H1	0	0	0	0
OR10C1	0	0	0	0
OR11A1	0	0	0	0
OR12D1	0	0	0	0
OR12D2	0	0	0	4
OR12D3	0	0	0	0
OR5V1	0	0	0	0
DDX6P1	0	0	0	0
OR14J1	0	0	0	0
OR2B4P	0	0	0	0
LOC105375005	0	0	0	0
OR2U2P	0	0	0	0
OR2U1P	0	0	0	0
OR2G1P	0	0	0	0
LINC03003	0	0	0	0
OR2H4P	0	0	0	0
OR2J4P	0	0	0	0
OR2J2	0	0	0	0
OR2N1P	0	0	0	0
OR2J3	0	0	0	0
OR2J1	0	0	0	0
OR2B3	0	0	0	0
SAR1AP1	0	0	0	0
OR2P1P	0	0	1	0
OR2W1	0	0	0	0
OR2W1-AS1	0	0	0	0
OR2AD1P	0	0	0	0
LOC105375002	0	0	0	0
ZNF311	353	300	256	267
TRL-AAG3-1	4	10	4	4
HCG15	118	102	82	111
TRE-CTC1-6	0	0	0	0
TRF-GAA1-2	0	0	0	0
RN7SL471P	6094	5222	4076	6685
KRT18P1	0	0	0	0
TRM-CAT3-2	4	4	2	2
TRK-TTT3-3	3	0	6	0
TRM-CAT3-1	2	0	0	0
LINC01556	6	10	20	24
