DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
CYP21A2	2.96196522011412	5.10360942208211	0	7.58848868108394
C4B	60.2266261423204	63.2847568338181	125.617444955569	46.4794931716391
STK19B	3.94928696015216	0	5.19080351056069	3.79424434054197
TNXA	9.87321740038039	4.08288753766568	9.34344631900925	2.84568325540648
CYP21A1P	41.4675130815976	16.3315501506627	36.3356245739249	18.9712217027099
C4B_2	0	0	0	0
STK19	709.88433108735	847.19916406563	755.780991137637	841.373682515182
DXO	1608.34711452197	1850.56877644697	1672.47689110266	1799.42037850203
SKIV2L	8702.25381669528	8387.27172424973	8105.95876209158	8484.87890653698
MIR1236	0	0	0	0
NELFE	5938.74026632881	5914.06259830874	5550.0071134915	6011.03159650362
CFB	10896.0827230598	3472.49585078466	9084.94430418333	3249.7702776742
C2-AS1	1.97464348007608	2.04144376883284	10.3816070211214	1.89712217027099
C2	56.2773391821682	46.9532066831554	60.2133207225041	66.3992759594845
EHMT2	6761.17927578049	6618.36069855607	6751.15904583524	6556.45422045653
EHMT2-AS1	21.7210782808369	4.08288753766568	6.22896421267283	26.5597103837938
SLC44A4	2.96196522011412	0	0	0
NEU1	2749.69104600594	2739.61753777367	2781.23252095842	2734.70160844563
VARS1	37144.0311819711	39504.9990925687	36381.3036448178	39335.8796394837
VWA7	116.503965324489	90.8442477130615	123.541123551345	100.547475024362
SAPCD1-AS1	5.92393044022824	29.6009346480762	8.30528561689711	23.7140271283873
SAPCD1	0	0	0	0
RNU6-850P	0	0	0	0
MSH5	48.3787652618639	45.932484798739	45.6790708929341	62.6050316189425
MSH5-SAPCD1	0	0	0	0
CLIC1	28645.1656437236	28048.4166618788	30066.1720938697	29785.7666343396
DDAH2	312.980991592058	266.408411832686	336.364067484333	337.687746308235
MPIG6B	0	0	1.03816070211214	0
LY6G6C	0	2.04144376883284	1.03816070211214	4.74280542567746
LY6G6D	0	0	0	0
LY6G6E	0	0	0	0
LY6G6F	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0
MIR4646	0	1.02072188441642	3.11448210633642	0
LOC105375018	1.97464348007608	3.06216565324926	0	3.79424434054197
ABHD16A	2328.1046630097	2384.40632199676	2361.81559730512	2341.0487581144
LOC105375019	1.97464348007608	0	0	0
LY6G5C	39.4928696015216	25.5180471104105	44.640910190822	31.3025158094713
LY6G5B	1246.98735766804	1138.10490112431	1350.64707344789	1459.83551002352
CSNK2B	9143.58663449228	8775.14604032797	9149.31026771428	9111.87778381154
GPANK1	1364.47864473257	1563.74592692596	1548.93576755131	1502.52075885462
C6orf47	1476.04600135687	1706.64699074426	1504.29485736049	1513.90349187625
APOM	131.313791425059	139.83889816505	142.228016189363	171.689556409524
BAG6	29606.8170185207	31201.4265628412	30525.0391242032	31958.920080385
MIR6832	22.7084000208749	13.2693844974135	19.7250533401306	15.1769773621679
SNORA38	61.2139478823584	72.4712537935659	58.1369993182798	67.34783704462
PRRC2A	77379.3667320012	79317.2354723468	74791.1733015627	82697.4525242825
AIF1	0	0	0	0
UQCRHP1	0.987321740038039	0	0	0
NCR3	0	0	2.07632140422428	0
