baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
VARS1	38091.5533897103	-0.0176184364425874	0.0795037409756494	-0.221605124820273	0.824621292656784	0.999952062821508
VWA7	107.859202903314	0.110684119928539	0.371480424376853	0.297954111886806	0.765738187134974	0.999952062821508
SAPCD1-AS1	16.8860444583972	-0.144313667578306	1.02927922512856	-0.140208472157087	0.8884952782159	0.999952062821508
MSH5	50.6488381431199	0.20063706067746	0.526408933051563	0.381142963350524	0.703097168994402	0.999952062821508
CLIC1	29136.3802584529	0.0782051744936695	0.0731658159011193	1.06887586136346	0.285125610178691	0.999952062821508
DDAH2	313.360304304328	0.218066711049408	0.223479167245443	0.975780936260201	0.329173033807665	0.999952062821508
MPIG6B	0.259540175528035	1.47286189214204	4.98965516401153	0.29518310258497	0.767854009387626	0.999952062821508
LY6G6C	1.95560247415561	1.51193147992484	2.76215966743628	0.547372947968701	0.584122536567407	0.999952062821508
MIR4646	1.03380099768821	1.61260716092618	3.96498494390723	0.406712051556258	0.684219488021691	0.999952062821508
LOC105375018	2.20776336846683	-0.397504245981005	2.55803270489106	-0.155394512830489	0.876510309748791	0.999952062821508
ABHD16A	2353.84383510649	-0.0029560630389005	0.102954130702333	-0.0287124277455876	0.977093944547271	0.999952062821508
LOC105375019	0.49366087001902	-2.43751812917777	4.89390530269547	-0.498072189471102	0.618433161525602	0.999952062821508
LY6G5C	35.2385856780563	0.221904060933156	0.639903800330281	0.346777219979975	0.728758692234009	0.999952062821508
LY6G5B	1298.89371056594	0.236884225744352	0.128787931953545	1.83933558176707	0.06586584261107	0.999952062821508
CSNK2B	9044.98018158652	0.0272897738920537	0.0807169136837791	0.338092385431951	0.735293568581142	0.999952062821508
GPANK1	1494.92027451611	0.0595343578088371	0.125370380216371	0.474867809334945	0.634881197087128	0.999952062821508
C6orf47	1550.22283533447	-0.076395147749086	0.124770208604633	-0.612286767838659	0.540348042771287	0.999952062821508
APOM	146.267565547249	0.21220879940266	0.316170436502786	0.671184825975308	0.502102793995626	0.999952062821508
BAG6	30823.0506964875	0.0392432991475129	0.0764574425213819	0.513269838139541	0.607762579406845	0.999952062821508
MIR6832	17.7199538051467	-0.0460257777485248	0.881910161139064	-0.0521887373302044	0.958378307013411	0.999952062821508
SNORA38	64.792509509706	-0.0903027282236517	0.463752630448761	-0.194721759607634	0.845610776266788	0.999952062821508
PRRC2A	78546.3070075483	0.00728882222788726	0.0789468585260162	0.092325677854367	0.926439287517727	0.999952062821508
UQCRHP1	0.24683043500951	-1.45232749138752	4.99626679196163	-0.290682533951976	0.771294130952833	0.999952062821508
NCR3	0.51908035105607	2.4853337202841	4.8880641757264	0.508449486532112	0.611138155511948	0.999952062821508
LST1	3.74964447707689	0.608731217705143	2.05912110776228	0.295626719288343	0.767515166169138	0.999952062821508
LTB	98.2737004230617	0.107470147267813	0.393088898161305	0.273399090563257	0.784546451791778	0.999952062821508
TNF	6.74873811264634	0.767522231816744	1.41341068302561	0.543028463725599	0.587110204837179	0.999952062821508
LTA	42.7454086618611	-0.287965435793317	0.601372468746214	-0.478847055292852	0.632047438435864	0.999952062821508
LOC100287329	1.02072188441642	-3.48183475711517	4.29719325758274	-0.810257893561383	0.417791970048456	0.999952062821508
NFKBIL1	1993.55715340378	-0.0755635623991565	0.116173699215119	-0.650436053165829	0.515410595294039	0.999952062821508
ATP6V1G2	13.5782963309766	0.970525468991212	1.27530443302042	0.761014738020337	0.446648264420022	0.999952062821508
DDX39B-AS1	10.6823429652017	1.02903692890298	1.11842608401852	0.920075938506038	0.357533077232227	0.999952062821508
SNORD84	294.672937473544	0.318708034400191	0.230595353655491	1.38210952366517	0.166938074701258	0.999952062821508
SNORD117	84.8724959487332	0.17670500940779	0.441387257456921	0.400340078746012	0.688906052125091	0.999952062821508
ATP6V1G2-DDX39B	50.2840467603116	0.115546740998483	0.526917126818428	0.219288262076741	0.826425504901606	0.999952062821508
MCCD1	0.259540175528035	1.47286189214204	4.98965516401153	0.29518310258497	0.767854009387626	0.999952062821508
PPIAP9	2.29106177126399	4.6303511988501	2.86343739849494	1.61706039087283	0.105865245710698	0.999952062821508
MICB	1843.24388859248	-0.0311894307890962	0.115176490962378	-0.270796848631932	0.786547283780298	0.999952062821508
MICB-DT	26.9276779561121	-0.572118983873668	0.745107144675974	-0.767834516098307	0.442585505547582	0.999952062821508
HCG26	22.0291187373441	0.0707085521082153	0.821597808701292	0.0860622452486637	0.931416936157085	0.999952062821508
HCP5	608.293763304743	-0.175684646210529	0.165853450765039	-1.05927639973809	0.289473919751251	0.999952062821508
HLA-X	3.95868501206163	0.716314582646266	1.7991651997986	0.398137193141826	0.690529059564655	0.999952062821508
LINC01149	0.51908035105607	2.4853337202841	4.8880641757264	0.508449486532112	0.611138155511948	0.999952062821508
MICA	2979.67168007809	0.0307501224429695	0.099067145051416	0.310396776115938	0.756259245447139	0.999952062821508
MICA-AS1	129.773057867103	-0.145711186936636	0.336119018790999	-0.433510687555707	0.664643803419625	0.999952062821508
HLA-B	9147.01801838938	-0.0217132947185355	0.0905852048172975	-0.239700233192929	0.810562654150803	0.999952062821508
RPL3P2	76.3488176471126	0.362356346641012	0.43741226431879	0.828409206141791	0.40743879460625	0.999952062821508
USP8P1	14.4723202341835	-0.312838480130833	0.95680370356754	-0.32696202885125	0.743696604732167	0.999952062821508
HLA-C	18944.7303072698	-0.00564966955045341	0.075625336288409	-0.0747060420188747	0.940448600274017	0.999952062821508
HCG27	32.7264823255731	0.239678108290683	0.666043781378746	0.359853383503614	0.718956779383102	0.999952062821508
PSORS1C3	118.249405943616	0.348927377990116	0.37463504365101	0.931379442215657	0.351657321141711	0.999952062821508
POU5F1	139.865267800228	0.0343628107601305	0.331982018218932	0.103508048250581	0.917559762225952	0.999952062821508
TCF19	2469.30996022032	-0.198786038706924	0.114077519145046	-1.74255225917188	0.0814118554345342	0.999952062821508
LINC00243	39.4406520731364	0.237062354569326	0.589814766201251	0.401926788127305	0.687737907331524	0.999952062821508
HCG20	5.78407833744618	-0.893022466581966	1.53750720517816	-0.580824898624448	0.56135847236856	0.999952062821508
IER3	20317.1295759379	0.072727055520996	0.116929863428659	0.621971610916729	0.533960535438198	0.999952062821508
IER3-AS1	49.3980805418724	-0.199674899257165	0.570344896074555	-0.350095005024931	0.726267399397244	0.999952062821508
FLOT1	4183.97229600908	-0.0505504672404736	0.103295861715925	-0.489375531611257	0.624575855701538	0.999952062821508
TUBB	127830.330626158	0.101886285417604	0.0769979978236085	1.32323291900409	0.185757931837606	0.999952062821508
MDC1-AS1	18.3752524073372	1.11557656818331	0.895434038896916	1.24585007909414	0.212819440231418	0.999952062821508
MDC1	10228.0762295378	0.19466297847213	0.0790171962045188	2.46355208514722	0.013756790623586	0.999952062821508
DHX16	7015.70934037259	0.0902955860186794	0.0848269127504296	1.06446861132786	0.287116466481772	0.999952062821508
C6orf136	2028.35491277261	0.0379053265288226	0.108226421037523	0.350240968567929	0.726157863018273	0.999952062821508
PTMAP1	27.0972938724286	0.765125863089559	0.707572741026805	1.08133880621127	0.279546431384966	0.999952062821508
ATAT1	433.715431970533	-0.0535550564240168	0.19201376163449	-0.278912594431446	0.780311902980051	0.999952062821508
MRPS18B	7864.38381228224	-0.0239049383760357	0.0846230696595148	-0.282487251670477	0.777569920400752	0.999952062821508
PPP1R10	19264.5021964791	0.0437329315453588	0.0765632920853203	0.571199727104522	0.567864263190281	0.999952062821508
ABCF1	14774.1288534229	0.0534061729573061	0.0777819364869356	0.686614082516142	0.492325951800724	0.999952062821508
PRR3	2125.92290230541	0.150273139162905	0.107797764781668	1.39402834063642	0.163309046635833	0.999952062821508
GNL1	6529.03529087645	-0.0425784388750695	0.0832557411598347	-0.511417450399334	0.60905877824968	0.999952062821508
LINC02569	29.1494911927285	-0.555855994883433	0.706144628893715	-0.787170180355641	0.431182250839794	0.999952062821508
HLA-E	12055.7791250941	-0.0796256514406034	0.0776475790431693	-1.02547500413805	0.305139113701793	0.999952062821508
