transcript,MCF10A,MDAMB436
L1FLnI_12p13.33a,560.4929407,601.7258592
L1FLnI_8p21.2p,556.8295882,475.2266729
L1FLnI_5q31.3a,556.8295882,417.1054251
L1FLnI_6q21m,542.176178,126.4991863
L1FLnI_11q23.2d,542.176178,0
L1FLnI_14q23.3p,527.5227677,215.3905064
L1FLnI_13q14.11s,523.8594152,700.8738701
L1FLnI_14q13.2,512.8693575,44.44566005
L1FLnI_20p11.21a,512.8693575,4636.024233
L1FLnI_7q32.1,509.206005,263.2550634
L1FLnI_2q33.1r,505.5426524,174.3637433
L1FLnI_Xq22.1la,505.5426524,564.117993
L1FLnI_5q14.1h,501.8792999,140.174774
L1FLnI_7q31.33h,501.8792999,232.484991
L1FLnI_1p13.2m,498.2159473,588.0502715
L1FLnI_18p11.21k,498.2159473,547.0235083
L1FLnI_5q15c,498.2159473,273.5117542
L1FLnI_16q12.1d,494.5525948,177.7826402
L1FLnI_2q31.2g,490.8892422,0
L1FLnI_12q13.11y,490.8892422,741.9006332
L1FLnI_Xq25q,479.8991845,841.0486441
L1FLnI_5q15n,479.8991845,119.6613924
L1FLnI_Yp11.2v,476.235832,191.4582279
L1FLnI_1q24.2j,476.235832,181.2015371
L1FLnI_4p13e,476.235832,300.8629296
L1FLnI_3p21.2m,472.5724794,379.4975589
L1FLnI_1q25.1i,472.5724794,170.9448464
L1FLnI_6q22.1ha,472.5724794,0
L1FLnI_10q11.21u,472.5724794,109.4047017
L1FLnI_9p11.2d,465.2457743,259.8361665
L1FLnI_21q22.3b,461.5824218,906.0076857
L1FLnI_6q16.2d,461.5824218,311.1196204
L1FLnI_6q22.1v,461.5824218,239.3227849
L1FLnI_2q31.1s,457.9190692,194.8771248
L1FLnI_6q13f,457.9190692,290.6062388
L1FLnI_14q24.1e,454.2557167,211.9716095
L1FLnI_15q25.1a,454.2557167,263.2550634
L1FLnI_2p23.1c,450.5923641,745.3195301
L1FLnI_4q26qa,446.9290116,109.4047017
L1FLnI_14q22.1c,446.9290116,427.3621159
L1FLnI_3p14.3l,432.2756013,259.8361665
L1FLnI_4q12ab,432.2756013,30.77007234
L1FLnI_15q21.2m,428.6122488,283.7684449
L1FLnI_10q24.1b,428.6122488,174.3637433
L1FLnI_Xq13.3fa,421.2855437,358.9841773
L1FLnI_2q11.2b,417.6221911,311.1196204
L1FLnI_10q25.3l,417.6221911,625.6581377
L1FLnI_Xq13.1ja,413.9588386,427.3621159
L1FLnI_5q12.3j,410.295486,331.6330019
L1FLnI_4q13.2o,402.9687809,936.777758
L1FLnI_4q28.2l,402.9687809,2663.320706
L1FLnI_1q25.1m,402.9687809,1856.461031
L1FLnI_Xq22.3ba,399.3054284,1227.383997
L1FLnI_5q21.1l,399.3054284,191.4582279
L1FLnI_7p14.2e,399.3054284,547.0235083
L1FLnI_7p21.1g,391.9787232,232.484991
L1FLnI_Yp11.2h,391.9787232,252.9983726
L1FLnI_2q21.3e,384.6520181,164.1070525
L1FLnI_1q24.2k,384.6520181,181.2015371
L1FLnI_Xq26.3h,380.9886656,947.0344488
L1FLnI_2q14.1ha,380.9886656,389.7542497
L1FLnI_13q22.3a,380.9886656,338.4707958
L1FLnI_10p12.33a,377.325313,259.8361665
L1FLnI_16q12.1n,373.6619605,512.8345391
L1FLnI_3q25.33h,362.6719028,181.2015371
L1FLnI_5q14.1f,362.6719028,99.14801089
L1FLnI_2q14.3ha,362.6719028,355.5652804
L1FLnI_15q22.2a,359.0085503,717.9683547
L1FLnI_11p15.3c,359.0085503,276.9306511
L1FLnI_4q12eb,355.3451977,352.1463835
L1FLnI_1p12s,355.3451977,109.4047017
L1FLnI_Xq11.2v,355.3451977,752.157324
L1FLnI_4q27u,351.6818452,929.9399642
L1FLnI_8q23.1b,348.0184926,0
L1FLnI_9q31.1d,344.35514,99.14801089
L1FLnI_19q13.31d,344.35514,611.98255
L1FLnI_1q24.2f,340.6917875,215.3905064
L1FLnI_7q21.13t,340.6917875,13.67558771
L1FLnI_11p15.2f,337.0284349,1531.665823
L1FLnI_11q13.5c,337.0284349,229.0660941
L1FLnI_3q23f,333.3650824,338.4707958
L1FLnI_2q33.1s,329.7017298,0
L1FLnI_4q31.21q,329.7017298,82.05352625
L1FLnI_4p16.3a,329.7017298,37.6078662
L1FLnI_1q25.1k,329.7017298,112.8235986
L1FLnI_9q22.32d,326.0383773,164.1070525
L1FLnI_6q22.1ka,322.3750247,437.6188067
L1FLnI_7p21.1k,315.0483196,17.09448464
L1ORF2_4p15.32,311.3849671,78.63462932
L1FLnI_16p12.2b,307.7216145,174.3637433
L1FLnI_1q21.2f,307.7216145,311.1196204
L1FLnI_17q21.31,300.3949094,150.4314648
L1FLnI_15q21.3aa,300.3949094,355.5652804
L1FLnI_3q13.2m,300.3949094,229.0660941
L1FLnI_4p14p,300.3949094,205.1338156
L1FLnI_5p13.3l,300.3949094,211.9716095
L1FLnI_7q34a,296.7315569,372.6597651
L1FLnI_4q24qa,293.0682043,225.6471972
L1FLnI_13q14.2u,293.0682043,225.6471972
L1FLnI_Xq28xa,293.0682043,256.4172695
L1FLnI_2q37.1e,289.4048517,5446.302805
L1FLnI_14q22.3j,285.7414992,249.5794757
L1FLnI_Xq25ec,278.4147941,198.2960218
L1FLnI_4q31.3a,274.7514415,294.0251357
L1FLnI_8q24.22g,274.7514415,536.7668176
L1FLnI_2q32.2g,274.7514415,225.6471972
L1FLnI_12q12db,274.7514415,283.7684449
L1FLnI_4p15.31r,271.088089,324.7952081
L1FLnI_5q13.3h,271.088089,933.3588611
L1FLnI_1q24.3l,267.4247364,885.4943041
L1FLnI_11q12.1t,267.4247364,10.25669078
L1FLnI_1q21.1c,267.4247364,167.5259494
L1FLnI_6q22.1ca,256.4346788,478.6455698
L1FLnI_6q27u,256.4346788,266.6739603
L1FLnI_4q24sa,256.4346788,109.4047017
L1FLnI_Yp11.2gb,252.7713262,71.79683547
L1FLnI_15q26.1c,252.7713262,707.7116639
L1FLnI_Xp11.21ma,245.4446211,0
L1FLnI_15q13.1a,245.4446211,294.0251357
L1FLnI_15q13.2c,241.7812685,591.4691684
L1FLnI_9q31.1c,241.7812685,88.8913201
L1FLnI_6q13m,241.7812685,656.42821
L1FLnI_8q11.21b,238.117916,112.8235986
L1FLnI_20q13.12e,238.117916,2847.94114
L1FLnI_7p12.1g,238.117916,88.8913201
L1FLnI_15q11.1f,238.117916,256.4172695
L1FLnI_12q13.2o,238.117916,23.93227849
L1FLnI_Yq11.21m,238.117916,177.7826402
L1FLnI_11p15.3h,234.4545634,205.1338156
L1FLnI_14q23.1h,234.4545634,147.0125679
L1FLnI_11p15.2m,230.7912109,232.484991
L1FLnI_19p12e,230.7912109,82.05352625
L1FLnI_7q33i,230.7912109,30.77007234
L1FLnI_12q23.1b,230.7912109,625.6581377
L1FLI_16p12.3b,230.7912109,817.1163656
L1FLnI_11q22.3z,230.7912109,61.54014469
L1FLnI_8q22.2p,227.1278583,126.4991863
