"locus","count_MCF10A","count_MDAMB436"
"L1FLnI_8q24.12k",51,74
"L1FLnI_7q31.1ga",50,27
"L1FLnI_7q22.1e",50,19
"L1FLnI_11q22.3aa",49,36
"L1FLnI_19q13.31b",49,89
"L1FLnI_2p16.1x",48,73
"L1FLnI_8q21.11n",48,136
"L1FLnI_8q22.1k",48,39
"L1FLnI_Xq21.1db",46,33
"L1FLnI_14q11.2j",46,26
"L1FLnI_18q12.1s",46,96
"L1FLnI_9q13h",46,30
"L1FLnI_18p11.22g",46,215
"L1FLnI_4q26ua",46,125
"L1FLnI_18q12.1q",45,6
"L1FLnI_14q21.1a",45,13
"L1FLnI_2q24.2d",45,53
"L1FLnI_3p22.1ea",45,5
"L1FLnI_4q21.21e",44,101
"L1FLnI_9q21.32i",44,168
"L1FLnI_1p22.1c",43,32
"L1FLnI_11q23.3k",43,4
"L1FLnI_10p14a",42,0
"L1FLnI_15q24.3h",42,52
"L1FLnI_1p32.3h",41,36
"L1FLnI_15q23a",41,72
"L1FLnI_5p12l",41,7
"L1FLnI_7q11.23d",41,26
"L1FLnI_3q22.3e",41,25
"L1FLnI_2q34ra",41,21
"L1FLnI_2p24.1b",40,19
"L1FLnI_5q15o",40,80
"L1FLnI_Xp22.11a",39,26
"L1FLnI_3q13.33w",39,42
"L1FLnI_2q35h",39,27
"L1FLnI_6p22.3a",39,30
"L1FLnI_Xq28wa",39,38
"L1FLnI_6q16.3na",38,7
"L1FLI_1q25.3",38,67
"L1FLnI_3q13.13c",38,57
"L1FLnI_19p12m",38,1
"L1FLnI_5q14.1aa",38,27
"L1FLnI_18q22.2e",37,118
"L1FLnI_2p22.2g",37,13
"L1FLnI_Xq13.2z",37,79
"L1FLnI_2p16.3h",37,92
"L1FLnI_9q33.2c",37,40
"L1FLnI_10p15.3c",36,3
"L1FLI_7p14.3",36,50
"L1FLnI_7q32.3a",36,13
"L1FLnI_4q21.21l",36,89
"L1FLnI_5q32aa",35,0
"L1FLnI_13q14.11g",35,356
"L1FLnI_3q26.32t",35,6
"L1FLnI_1p11.2c",35,20
"L1FLnI_1p13.1b",35,6
"L1FLnI_20p13i",35,14
"L1FLnI_9q21.12h",34,125
"L1FLnI_1p12u",34,138
"L1FLnI_Xq22.3z",34,53
"L1FLnI_2q32.1ma",34,317
"L1FLnI_10q11.21s",34,29
"L1FLnI_10q21.1p",34,4
"L1FLnI_2p21d",34,27
"L1FLnI_Xq24l",34,0
"L1FLnI_6q13n",34,40
"L1FLnI_1p32.3g",34,23
"L1FLnI_7q32.2c",33,24
"L1FLnI_6q22.31d",33,30
"L1FLnI_3p14.2b",33,15
"L1FLnI_1q41aa",32,0
"L1FLnI_4q28.1a",32,17
"L1FLnI_21q21.1b",32,93
"L1FLnI_5q35.1d",32,131
"L1FLnI_Xq13.2ia",31,35
"L1FLnI_8q11.21f",31,54
"L1FLnI_14q24.1a",31,32
"L1FLnI_5q12.1m",31,29
"L1FLnI_1p22.1b",31,33
"L1FLnI_Xq22.3ja",31,5
"L1FLnI_6p21.31",31,27
"L1FLnI_4q28.2h",31,25
"L1FLnI_2q14.2l",30,30
"L1FLnI_4q26wa",30,178
"L1FLnI_5q31.1d",30,30
"L1FLnI_10q23.32e",30,6
"L1FLnI_22p11.2o",30,2
"L1FLnI_5q22.1h",30,61
"L1FLI_12q14.2",29,17
"L1FLnI_5q23.2ma",29,60
"L1FLnI_5q14.1k",29,18
"L1FLnI_7p14.3c",28,53
"L1FLnI_14q24.2c",28,25
"L1FLnI_Xq21.1yc",28,0
"L1FLnI_12q22h",28,25
"L1FLnI_15q11.1e",27,19
"L1FLnI_5q23.1ja",27,29
"L1FLnI_15q26.3m",27,14
"L1FLnI_12q23.3f",27,132
"L1FLnI_2p13.2a",27,72
"L1FLnI_4p15.31q",27,26
"L1FLnI_8p21.2m",26,28
"L1FLnI_8q11.23n",26,56
"L1FLnI_12q12ia",26,35
"L1FLnI_11p15.5b",26,105
"L1FLnI_4q23h",26,12
"L1FLnI_Xq11.1s",26,29
"L1FLnI_21p11.2f",26,3
"L1FLnI_6q22.32f",26,0
"L1FLnI_15q13.3c",25,63
"L1FLnI_11q22.3a",25,15
"L1FLnI_15q21.2b",25,25
"L1FLnI_2p16.2g",25,32
"L1FLnI_22q11.22b",25,57
"L1FLnI_2q31.1t",25,9
"L1FLnI_11q13.4f",25,45
"L1FLnI_4p11h",25,2
"L1FLnI_11p13u",24,7
"L1FLnI_2q23.1d",24,32
"L1FLnI_9q32a",24,20
"L1FLnI_4p11b",24,50
"L1FLnI_12q23.3v",24,16
"L1FLnI_9q33.2b",24,80
"L1FLnI_7q34c",24,41
"L1FLnI_Xq21.1of",24,395
"L1FLnI_3q26.2i",23,28
"L1FLnI_1p13.1a",23,17
"L1FLnI_4q28.1t",23,38
"L1FLnI_1p13.3e",23,243
"L1FLnI_1q43n",23,0
"L1FLnI_11q12.1k",23,65
"L1FLnI_8q24.21v",23,3
"L1FLnI_20q11.1g",23,14
"L1FLnI_6q22.32a",22,6
"L1FLnI_15q26.3d",22,22
"L1FLnI_19q13.31c",22,27
"L1FLnI_20p12.1i",22,21
"L1FLnI_11p15.4y",22,36
"L1FLnI_3p22.1z",22,8
"L1ORF2_3q25.2",22,8
"L1FLnI_11q22.3v",22,4
"L1FLnI_6q25.3l",21,14
"L1FLnI_3q26.32n",21,6
"L1FLnI_8q22.2j",21,39
"L1FLnI_Xq22.3x",21,0
"L1FLnI_14q24.2b",21,20
"L1FLnI_3q13.33i",21,40
"L1FLnI_15q22.31b",21,180
"L1FLnI_9q31.1a",21,65
"L1FLnI_13q14.2w",21,28
"L1FLnI_4p15.2x",21,29
"L1FLnI_1q31.2m",20,12
"L1FLnI_11q22.3t",20,22
"L1FLnI_18p11.21m",20,3
"L1FLnI_12q23.1ga",20,4
"L1FLnI_1p22.1g",20,17
"L1FLnI_4q24cb",20,33
"L1FLnI_2p14w",20,22
"L1FLnI_Xp11.21f",20,4
"L1FLnI_19q13.31e",19,18
"L1FLnI_8q23.1x",19,12
"L1FLnI_5q31.1s",19,7
"L1FLnI_15q11.2h",19,7
"L1FLnI_7q21.13p",19,57
"L1FLnI_18p11.23e",19,17
"L1FLnI_4q21.3a",19,4
"L1FLnI_9q21.11b",19,34
"L1FLnI_4p11f",19,9
"L1FLnI_7q21.2j",18,14
"L1FLnI_1p31.3y",18,25
"L1FLnI_1p13.3l",18,11
"L1FLnI_10q26.13b",18,1
"L1FLnI_3p22.2e",18,17
"L1FLnI_7p14.3b",18,8
"L1FLnI_12p11.22h",18,183
"L1FLnI_9q13d",18,14
"L1FLnI_9q21.33i",18,17
"L1FLnI_9p22.2f",18,1
"L1FLnI_8q11.21d",17,6
"L1FLnI_6p12.1h",17,24
"L1FLnI_4q12ia",17,25
"L1FLnI_14q22.1j",17,25
"L1FLnI_1p32.1f",17,13
"L1FLnI_5q15qa",17,6
"L1FLnI_2q33.1n",17,0
"L1FLnI_9p24.1e",17,806
"L1FLnI_7q21.11da",17,53
"L1FLnI_4p11i",17,2
"L1FLnI_2q11.2e",17,1
"L1FLnI_4q13.3db",17,57
"L1FLnI_3q25.31c",17,9
"L1FLnI_1p31.2c",17,1
"L1FLnI_15q15.1",16,72
"L1FLnI_20p11.21t",16,219
"L1FLnI_2q33.1b",16,9
"L1FLnI_3p25.1e",16,0
"L1FLnI_15q15.3d",16,52
"L1FLnI_2p23.3d",16,19
"L1FLnI_6q14.1pa",16,37
"L1FLnI_16q12.1c",16,12
"L1FLnI_8q21.13ia",16,15
"L1FLnI_Xq11.2m",16,104
"L1FLnI_7q34b",16,55
"L1FLnI_9p11.2e",16,27
"L1FLnI_13q12.3e",16,7
"L1FLnI_11p13q",15,1
"L1FLnI_8q11.21g",15,30
"L1FLnI_11p15.2k",15,16
"L1FLnI_4q25qa",15,6
"L1FLnI_16q12.2d",15,38
"L1FLnI_18p11.21q",15,6
"L1FLnI_9p24.1f",15,92
"L1FLnI_22p11.2k",15,6
"L1FLnI_6q22.1ja",15,25
"L1FLnI_4q24p",15,10
"L1FLnI_1q24.2g",14,37
"L1FLnI_7q21.13s",14,1
"L1FLnI_3q11.2x",14,1
"L1FLnI_7p14.3d",14,66
"L1FLnI_12q23.1m",14,29
"L1FLnI_3p22.3d",14,11
"L1FLnI_10q24.31a",14,37
"L1FLI_4q21.21a",14,30
"L1FLnI_13q32.1b",14,10
"L1FLnI_6q14.3xa",14,6
"L1FLnI_9p22.3k",14,15
"L1FLnI_7q22.1a",14,8868
"L1FLnI_2q11.1c",14,1
"L1FLnI_3q12.1c",14,47
"L1FLnI_6q24.2j",14,81
"L1FLnI_13q32.1c",14,9
"L1FLnI_2q32.3da",14,4
"L1FLnI_18q12.2d",14,2
"L1FLnI_12p11.22i",14,4
"L1FLnI_12p13.32e",14,14
"L1FLnI_4q21.21d",14,23
"L1FLnI_9q13i",14,27
"L1FLnI_15q25.2j",13,4
"L1FLnI_8q23.3a",13,11
"L1FLnI_Yq11.221qa",13,10
"L1FLnI_7p14.1w",13,7
"L1FLnI_1p32.2d",13,16
"L1FLnI_17p12b",13,4
"L1FLnI_1q25.1g",13,22
"L1FLnI_5p15.33b",13,31
"L1FLnI_13q13.2b",13,2
"L1FLnI_12p13.32f",13,36
"L1FLnI_11q21r",13,24
"L1FLnI_4q13.3ta",13,20
"L1FLnI_8q24.3c",13,9
"L1FLnI_Xq21.1vd",13,0
"L1FLnI_Xq21.1xd",13,1
"L1FLnI_8q24.21e",13,60
"L1FLnI_16p11.2h",13,17
"L1FLnI_11p14.1m",13,29
"L1FLnI_9q21.11i",13,26
"L1FLI_10q25.1b",13,19
"L1FLnI_7p21.3e",13,136
"L1FLnI_3p14.2r",13,3
"L1FLnI_4q26ra",13,4
"L1FLnI_14q12ra",12,63
"L1FLnI_9q21.12g",12,53
"L1FLnI_5q12.1n",12,24
"L1FLnI_8q11.21e",12,10
"L1FLnI_3q26.32u",12,2
"L1FLnI_5q12.3q",12,2
"L1FLnI_12q13.12",12,8
"L1FLnI_Xq21.1yd",12,5
"L1FLnI_6q22.1y",12,34
"L1FLnI_6p24.2a",12,10
"L1FLnI_13q14.11h",12,43
"L1FLnI_7q11.21v",12,10
"L1FLnI_4q25f",12,0
"L1FLnI_3p25.2a",12,3
"L1FLnI_Xq23ab",12,68
"L1FLnI_7q31.2k",12,4
"L1FLnI_15q21.3ea",12,31
"L1FLnI_4q24ya",12,60
"L1FLnI_12p12.2j",12,85
"L1FLnI_18q21.31f",12,11
"L1FLnI_10p11.1a",12,12
"L1FLnI_11q14.2s",12,2
"L1FLnI_11q14.1r",12,3
"L1FLnI_2q31.1ba",12,14
"L1FLnI_21q22.13b",12,31
"L1FLnI_5q12.3s",12,61
"L1FLnI_21p11.2k",12,6
"L1FLnI_3q26.2f",11,6
"L1FLnI_10p11.22d",11,26
"L1FLnI_12q13.11e",11,103
"L1FLnI_10p11.22f",11,8
"L1FLnI_9q31.3e",11,30
"L1FLnI_1q21.3d",11,0
"L1FLnI_6q27c",11,8
"L1FLnI_5p13.3t",11,0
"L1FLnI_9q22.33a",11,8
"L1FLnI_16q23.3a",11,100
"L1FLnI_3q26.32p",11,0
"L1FLnI_1p11.2f",11,12
"L1FLnI_3q13.11j",11,0
"L1FLnI_22q11.23a",11,12
"L1FLnI_17q23.2c",11,23
"L1FLnI_17q12b",11,33
"L1FLnI_7q34f",11,57
"L1FLnI_14q31.3ga",11,4
"L1FLnI_10q23.33c",11,28
"L1FLnI_10p15.3b",11,0
"L1FLnI_4q21.21c",11,28
"L1FLnI_Xp11.3ja",11,34
"L1FLnI_3p22.3a",11,2
"L1FLnI_9p24.3a",11,14
"L1FLnI_2q32.2e",11,0
"L1FLnI_22q11.1j",10,4
"L1FLnI_3p24.1u",10,9
"L1FLnI_3q13.33aa",10,121
"L1FLnI_4q12t",10,6
"L1FLnI_5q12.3r",10,68
"L1FLnI_10q24.1a",10,4
"L1FLnI_6q24.3d",10,0
"L1FLnI_6q14.1a",10,27
"L1FLnI_4q22.1b",10,2
"L1FLnI_4q32.3p",10,1
"L1FLnI_7q21.2k",10,43
"L1FLnI_11p13w",10,0
"L1FLnI_4q24za",10,25
"L1FLnI_8q21.3aa",10,258
"L1FLnI_6p22.1b",10,1
"L1FLnI_Xp11.22la",10,49
"L1FLnI_Xq26.3i",10,114
"L1FLnI_5q33.3j",10,33
"L1FLnI_12p12.3g",10,14
"L1FLnI_9p22.3a",10,40
"L1FLnI_11q24.3h",10,0
"L1FLnI_5q35.1l",10,6
"L1FLnI_10p11.22q",10,6
"L1FLnI_2q32.3ca",10,11
"L1FLnI_Xq22.3la",10,0
"L1FLnI_1q42.12i",10,2
"L1FLnI_4q21.23i",10,45
"L1FLnI_5q23.2na",10,21
"L1FLnI_10q21.3m",10,5
"L1FLnI_7q21.2h",10,13
"L1FLnI_9p24.1q",10,11
"L1FLnI_5q14.1u",10,20
"L1FLnI_2q21.3h",10,31
"L1FLnI_2q14.1b",10,33
"L1FLnI_15q13.3d",9,24
"L1FLnI_15q21.2o",9,10
"L1ORF2_10q23.1",9,19
"L1FLnI_9q22.32a",9,11
"L1FLnI_6p24.1b",9,25
"L1FLnI_6q24.2d",9,7
"L1FLnI_3q11.2ca",9,100
"L1FLnI_1q42.13b",9,0
"L1FLnI_2q11.2m",9,15
"L1FLnI_10q21.1g",9,21
"L1FLnI_Xq24p",9,55
"L1FLnI_12q13.3b",9,0
"L1FLnI_Xq11.2l",9,6
"L1FLnI_7q21.12a",9,4
"L1FLnI_Xp11.21nb",9,8
