"","count_MCF10A","count_MDAMB436"
"L1FLnI_12q13.11a",11.0878091408278,11.2004689783351
"L1FLnI_Xq13.1a",11.0774606790159,11.0920213003892
"L1FLnI_11q22.2a",11.0708364345253,10.6780842690075
"L1FLnI_6q25.3e",11.0584529844519,8.33625705398936
"L1FLI_14q23.2",11.0430644356688,6.9762343624626
"L1FLnI_3p26.1v",11.0284870556309,9.09258118323806
"L1FLnI_19q13.11a",10.9868689253341,8.62687455902605
"L1FLnI_1p34.2d",10.8848201241977,9.08696440809383
"L1FLnI_Xp11.3q",10.7252480370949,6.52302908216782
"L1FLnI_20p11.21u",10.7082754357376,9.64346851546097
"L1FLnI_5q31.1l",10.6202815197702,9.00990631111015
"L1FLnI_5p12k",10.6046428682232,8.23831292460753
"L1FLnI_14q12ya",10.5781957325704,8.50580905550034
"L1FLnI_10q26.12g",10.4773280761444,9.77503843424794
"L1FLnI_13q34a",10.4658328194617,7.05506559121329
"L1FLnI_8q23.1y",10.4307870561077,8.35195358252249
"L1FLnI_1q23.3u",10.3502393864768,8.5500276569382
"L1FLnI_Xq13.1c",10.3106256335371,9.32824225132144
"L1FLnI_14q23.3q",10.2296778296423,7.86660451964345
"L1FLnI_5q13.2d",10.2262753789489,8.58232430242252
"L1FLnI_19q12p",10.2160196142282,9.81635732018848
"L1FLnI_8q21.13ja",10.2039616764493,7.41326872547903
"L1FLnI_13q14.2p",10.1475188247389,8.85108539287247
"L1FLnI_18q21.32b",10.1421123157254,8.02381642353944
"L1FLnI_5p12j",10.1239428733939,9.98186709713894
"L1FLnI_5p13.2v",10.1147716149884,7.84901374736409
"L1FLnI_18p11.21i",10.1110867245508,8.75518456551614
"L1FLnI_10q23.31m",10.0981149809905,8.65245202463318
"L1FLnI_Xq26.3m",10.0831458932438,8.32993030993162
"L1FLnI_16p11.2l",10.0661179055367,10.0774921990639
"L1FLnI_7q21.2o",9.94508423878152,12.1606795513794
"L1FLnI_5q33.1a",9.9388615420085,8.94722022982431
"L1FLnI_Xq21.1ne",9.92213525884517,7.85783594439335
"L1FLnI_1p31.1rc",9.90733897509574,5.54552237445001
"L1FLnI_15q21.1c",9.89024100595397,7.90966534326152
"L1FLnI_7q33b",9.85101319305537,7.81317535839668
"L1FLnI_Xq13.1s",9.81522540944046,6.43143559043038
"L1FLnI_11q21n",9.71924951532614,7.23513492879839
"L1FLnI_5q15z",9.71682698735433,8.02381642353944
"L1FLnI_Xq26.2j",9.67750287807378,7.78106940320818
"L1FLnI_2q11.1b",9.63963687751441,8.08895834818123
"L1FLnI_10q23.33a",9.63707678694466,8.05866937168718
"L1FLnI_7q31.1y",9.52246046343646,6.99234899715693
"L1FLnI_Xq21.1pc",9.50852215799306,7.24861451537876
"L1FLnI_2q36.2",9.48023493634714,7.87096890203205
"L1FLnI_4q21.3h",9.45429337141157,5.80477198024467
"L1FLnI_12p13.32g",9.45429337141157,7.96378914862731
"L1FLnI_3p22.3b",9.40398229381343,11.4726451113161
"L1FLnI_2q22.3s",9.36428934665561,11.1680284580344
"L1FLnI_4q35.2k",9.32982838803836,7.81770414797468
"L1FLnI_4q12e",9.31709019656789,1.42045667459727
"L1FLnI_1p22.1d",9.31388799712969,7.5718047404887
"L1FLnI_5q13.3b",9.29452408946087,7.24861451537876
"L1FLnI_8p11.21k",9.20747395731825,3.67060289682643
"L1FLnI_Xq13.3pa",9.20401866872825,7.84901374736409
"L1FLnI_8q22.3j",9.19708316543741,7.72431162606834
"L1FLnI_18q12.2j",9.18311132628766,8.13323184855372
"L1FLnI_6q22.31ta",9.1690028515262,5.5672058068587
"L1FLnI_12q24.13b",9.1690028515262,11.3356823445937
"L1FLnI_13q12.11h",9.12947769486027,5.67098625910136
"L1FLnI_3q21.1c",9.12217349626346,13.8416625134933
"L1FLnI_Yq11.222r",9.10745321274289,7.55019576840429
"L1FLnI_3q22.3n",9.1037495533703,6.18730494240677
"L1FLnI_15q15.3a",9.06998167292283,8.38894279032095
"L1FLnI_6q16.3c",9.01976668483433,7.98810058764346
"L1FLnI_1p21.2c",8.93892962745706,6.67052999331107
"L1FLnI_2p21b",8.93476639141133,6.84039512316077
"L1FLnI_5q23.3c",8.92640370288828,2.48787940049565
"L1FLnI_12q23.1ia",8.89245959969461,6.70026647753491
"L1FLnI_20q11.22",8.87952179376202,7.98407702532257
"L1FLnI_5q15xa",8.8708316789521,5.7864029520531
