"","count_MCF10A","count_MDAMB436"
"L1FLnI_14q24.1a",5.50115211365373,4.58900707674248
"L1FLnI_5q12.1m",5.50115211365373,4.45574862133805
"L1FLnI_1p22.1b",5.50115211365373,4.63082009711779
"L1FLnI_Xq22.3ja",5.50115211365373,2.28935193161896
"L1FLnI_6p21.31",5.50115211365373,4.35952223725987
"L1FLnI_4q28.2h",5.50115211365373,4.25639721809243
"L1FLnI_2q14.2l",5.4553730634349,4.5015523051724
"L1FLnI_4q26wa",5.4553730634349,6.99234899715693
"L1FLnI_5q31.1d",5.4553730634349,4.5015523051724
"L1FLnI_10q23.32e",5.4553730634349,2.48787940049565
"L1FLnI_22p11.2o",5.4553730634349,1.42045667459727
"L1FLnI_5q22.1h",5.4553730634349,5.47844425903931
"L1FLI_12q14.2",5.40809276863918,3.74880743302842
"L1FLnI_5q23.2ma",5.40809276863918,5.4553730634349
"L1FLnI_5q14.1k",5.40809276863918,3.82296712097201
"L1FLnI_7p14.3c",5.35920935727676,5.28262873752586
"L1FLnI_14q24.2c",5.35920935727676,4.25639721809243
"L1FLnI_Xq21.1yc",5.35920935727676,-0.451890008743207
"L1FLnI_12q22h",5.35920935727676,4.25639721809243
"L1FLnI_15q11.1e",5.30861021573087,3.89348188790523
"L1FLnI_5q23.1ja",5.30861021573087,4.45574862133805
"L1FLnI_15q26.3m",5.30861021573087,3.50009131836213
"L1FLnI_12q23.3f",5.30861021573087,6.5667333638962
"L1FLnI_2p13.2a",5.30861021573087,5.71049375848342
"L1FLnI_4p15.31q",5.30861021573087,4.30888347602661
"L1FLnI_8p21.2m",5.25617042230771,4.4084394613157
"L1FLnI_8q11.23n",5.25617042230771,5.35920935727676
"L1FLnI_12q12ia",5.25617042230771,4.71097162499218
"L1FLnI_11p15.5b",5.25617042230771,6.2422465611708
"L1FLnI_4q23h",5.25617042230771,3.30647021207671
"L1FLnI_Xq11.1s",5.25617042230771,4.45574862133805
"L1FLnI_21p11.2f",5.25617042230771,1.77717837243201
