Locus,GSK_rep1,GSK_rep2,LLY_rep1,LLY_rep2
L1FLnI_1q42.12d,1083.29518,704.019051,1296.529489,581.6652975
L1FLnI_2q31.1ba,1079.207273,760.7185719,1072.792099,739.8374399
L1FLnI_2q37.1e,1079.207273,1554.511864,889.2127025,1331.707392
L1FLnI_1q25.1o,1071.031461,1048.941136,903.5548429,1224.558521
L1FLnI_9p21.1aa,1071.031461,850.4928133,1098.607952,469.4140998
L1FLnI_9p11.2e,1062.855648,1403.313142,1287.924205,1581.721423
L1FLnI_18q12.2j,1062.855648,878.8425738,926.5022675,836.7816561
L1FLnI_8q11.23n,1058.767742,2456.979239,1069.923671,2107.261122
L1FLnI_Xq13.1ja,1054.679835,1138.715378,966.6602605,1362.321355
L1FLnI_7q11.21v,1054.679835,1077.290897,1015.423538,1122.511978
L1FLnI_7q11.23a,1054.679835,836.3179331,1067.055243,775.5537301
L1FLnI_9p21.1v,1054.679835,694.5691309,1227.687215,637.7908964
L1FLnI_12q23.3g,1050.591929,4030.390943,1032.634106,3403.252223
L1FLnI_15q22.31a,1042.416116,982.7916954,949.4496921,933.7258724
L1FLnI_10q23.31m,1038.32821,850.4928133,1287.924205,709.2234768
L1FLnI_4q24za,1038.32821,1488.362423,989.6076851,1372.526009
L1FLnI_12q24.22a,1021.976584,515.0206481,507.7117689,561.2559889
L1FLnI_8q21.11n,1021.976584,907.1923342,828.975713,734.7351127
L1FLnI_2q22.3s,1021.976584,2126.232033,375.7640775,3112.419575
L1FLnI_1p12u,1017.888678,817.4180928,981.0024009,755.1444214
L1FLnI_19q13.2d,1009.712865,1119.815538,1087.13424,862.293292
L1FLnI_9p21.1y,1009.712865,737.0937716,1024.028822,801.0653659
L1FLnI_11p15.3c,1005.624959,859.9427335,949.4496921,969.4421626
L1FLnI_2q12.2b,1001.537053,1044.216176,708.501734,938.8281995
L1FLnI_10q23.33a,997.4491464,581.1700891,1201.871362,586.7676247
L1FLnI_6p22.1b,993.3612401,1535.612024,1121.555376,1535.800479
L1FLnI_4q24qa,985.1854274,940.2670547,1193.266078,1040.874743
L1FLnI_6q16.3na,977.0096148,926.0921745,780.2124358,903.1119093
L1FLnI_8q24.22g,968.8338021,902.4673742,926.5022675,867.3956191
L1FLnI_2p21b,968.8338021,1271.01426,900.6864148,1392.935318
L1FLnI_7q33c,960.6579894,1006.416496,605.2383233,852.0886376
L1FLnI_Xq13.2ia,956.5700831,878.8425738,935.1075517,632.6885693
L1FLnI_1q25.1h,948.3942704,1152.890258,1032.634106,1250.070157
L1FLnI_11q13.5h,944.3063641,1110.365617,886.3442745,1107.204996
L1FLnI_11q13.5c,944.3063641,1304.08898,932.2391236,1209.25154
L1FLnI_2q11.1e,944.3063641,699.294091,1250.63464,474.5164269
L1FLnI_2q14.1ha,940.2184577,926.0921745,1006.818254,1132.716632
L1FLnI_10p11.22f,936.1305514,907.1923342,863.3968499,923.521218
L1FLnI_Xq26.2d,923.8668324,656.7694503,820.3704288,449.0047911
L1FLnI_12p12.1h,915.6910197,1072.565937,1580.503868,1285.786447
L1FLnI_21q22.3b,911.6031133,467.7710473,760.1334393,454.1071183
L1FLnI_Xq26.2e,907.515207,543.3704085,665.4753129,571.4606432
L1FLnI_14q22.3j,903.4273007,680.3942507,717.1070182,632.6885693
L1FLnI_6q16.2d,899.3393943,793.7932924,943.7128359,826.5770018
L1FLnI_3p12.3t,895.251488,826.868013,937.9759798,760.2467485
L1FLnI_1q32.3d,891.1635817,656.7694503,438.8694951,785.7583844
L1FLnI_9q22.32b,882.987769,453.5961671,978.1339728,510.2327171
L1FLnI_21q22.13b,878.8998626,751.2686518,777.3440077,862.293292
L1FLnI_2q14.2m,878.8998626,1048.941136,926.5022675,1045.97707
L1FLnI_13q22.3a,874.8119563,1086.740817,748.659727,1153.125941
L1FLnI_4q26ua,874.8119563,878.8425738,969.5286886,964.3398354
L1FLnI_16p12.3a,874.8119563,566.9952089,788.81772,586.7676247
L1FLnI_15q26.1c,874.8119563,699.294091,496.2380566,612.2792606
L1FLnI_6p12.3h,870.72405,916.6422544,1038.370962,1056.181724
L1FLnI_Xq22.1fb,870.72405,685.1192107,857.6599937,561.2559889
L1FLnI_6q22.1u,862.5482373,1431.662902,963.7918324,1117.409651
L1FLnI_3q13.2m,858.460331,519.7456081,711.370162,438.8001367
L1FLnI_12q12db,854.3724246,987.5166555,837.5809972,1086.795688
L1FLnI_3p14.3l,846.1966119,505.5707279,763.0018673,637.7908964
L1FLnI_6q13m,838.0207993,656.7694503,1107.213236,795.9630387
L1FLnI_6q24.3g,838.0207993,363.8219257,1044.107818,469.4140998
L1FLnI_7q21.3b,838.0207993,656.7694503,676.9490252,617.3815877
L1FLnI_4p14p,833.9328929,628.4196899,659.7384567,795.9630387
L1FLnI_4q13.2b,833.9328929,581.1700891,932.2391236,525.5396987
L1FLnI_1q32.3e,825.7570803,425.2464067,556.4750461,545.9490073
L1FLnI_3q22.3e,821.6691739,1398.588182,797.4230042,1265.377139
L1FLnI_4q28.1a,821.6691739,907.1923342,628.1857479,1132.716632
L1FLnI_7q22.1e,821.6691739,1280.46418,1012.55511,989.8514713
L1FLnI_1p31.3y,821.6691739,1861.634269,903.5548429,1811.326146
L1FLnI_3q13.13c,813.4933612,481.9459276,785.9492919,408.1861737
L1FLnI_12q15k,813.4933612,576.445129,811.7651446,474.5164269
L1FLnI_5p13.1b,809.4054549,515.0206481,803.1598604,591.8699519
L1FLnI_6q16.2a,805.3175486,566.9952089,851.9231376,484.7210813
L1FLnI_2q14.2l,801.2296422,680.3942507,780.2124358,959.2375082
L1FLnI_2p14w,801.2296422,642.5945701,642.5278883,806.1676931
L1FLnI_4q28.2l,801.2296422,689.8441708,771.6071516,918.4188909
L1FLnI_12q13.11y,797.1417359,807.9681727,874.8705622,1015.363107
L1FLnI_12p12.2b,793.0538296,496.1208078,639.6594602,418.3908281
L1FLnI_14q24.2c,784.8780169,571.720169,697.0280217,612.2792606
L1FLnI_19q13.31d,784.8780169,973.3417753,763.0018673,903.1119093
L1FLnI_5q14.1c,784.8780169,1006.416496,711.370162,1086.795688
L1FLnI_4q26wa,776.7022042,524.4705682,915.0285552,438.8001367
L1FLnI_12q23.1b,768.5263915,798.5182525,866.265278,979.6468169
L1FLnI_8q24.3c,768.5263915,505.5707279,702.7648778,443.9024639
L1FLnI_8q23.1e,768.5263915,628.4196899,783.0808639,581.6652975
L1FLnI_1p22.1c,768.5263915,557.5452887,800.2914323,494.9257356
L1FLnI_11q21b,764.4384852,1653.736026,894.9495587,1551.10746
L1FLnI_8q21.13ja,764.4384852,633.1446499,613.8436076,688.8141681
L1FLnI_5q23.3c,760.3505788,722.9188913,567.9487584,678.6095138
L1FLnI_5q14.1h,760.3505788,859.9427335,869.133706,1214.353867
L1FLnI_13q14.2w,756.2626725,661.4944104,760.1334393,739.8374399
L1FLnI_6q14.1a,756.2626725,434.6963268,545.0013338,392.8791922
L1FLnI_5q13.2j,748.0868598,600.0699294,843.3178534,586.7676247
L1FLnI_13q14.2u,743.9989535,708.7440111,857.6599937,898.0095822
L1FLnI_1p22.2t,743.9989535,491.3958477,917.8969833,500.0280628
L1FLnI_9p21.1ca,743.9989535,496.1208078,665.4753129,551.0513345
L1FLnI_3q11.1j,739.9110472,548.0953686,783.0808639,362.2652292
L1FLnI_3q22.2b,735.8231408,689.8441708,539.2644777,566.358316
L1FLnI_5q31.3a,731.7352345,1209.589779,771.6071516,1158.228268
L1FLnI_3p25.1i,731.7352345,1204.864819,699.8964497,1035.772416
L1FLnI_14q12ra,727.6473281,689.8441708,1098.607952,816.3723474
L1FLnI_5q13.3h,723.5594218,807.9681727,800.2914323,1137.818959
L1FLnI_12q24.13b,723.5594218,255.147844,255.2900985,265.3210129
L1FLnI_12q12cb,719.4715155,533.9204884,573.6856145,591.8699519
L1FLnI_1p21.2c,719.4715155,789.0683324,788.81772,770.4514029
L1FLnI_2q31.1s,719.4715155,680.3942507,553.606618,535.744353
L1FLnI_15q21.3aa,719.4715155,812.6931327,697.0280217,607.1769334
L1FLnI_1q42.3d,719.4715155,661.4944104,912.1601271,704.1211497
L1FLnI_4p13e,715.3836091,548.0953686,473.290632,596.9722791
L1FLI_16p12.3b,715.3836091,1356.063541,610.9751795,1224.558521
L1FLnI_1q42.12c,715.3836091,524.4705682,1009.686682,489.8234085
L1FLnI_4q28.1la,711.2957028,1275.73922,877.7389903,1250.070157
L1FLnI_9p24.2c,711.2957028,642.5945701,616.7120356,520.4373715
L1FLnI_15q13.1a,707.2077965,344.9220854,447.4747793,209.195414
L1FLnI_8q23.1c,707.2077965,359.0969656,768.7387235,331.6512661
L1FLnI_2p16.1x,707.2077965,240.9729638,622.4488918,372.4698835
L1FLnI_18p11.31l,703.1198901,429.9713667,565.0803303,500.0280628
L1FLnI_18p11.21k,703.1198901,680.3942507,685.5543094,632.6885693
L1FLnI_5q14.1f,703.1198901,874.1176137,679.8174532,1076.591033
L1FLnI_7q22.2a,703.1198901,472.4960074,567.9487584,602.0746062
L1FLnI_Xp11.23d,703.1198901,448.871207,593.7646111,433.6978096
L1FLnI_1q42.12i,703.1198901,595.3449693,674.0805971,540.8466802
L1FLnI_9p21.1ba,703.1198901,562.2702488,636.7910321,515.3350443
L1FLnI_Xq22.3aa,699.0319838,396.8966462,803.1598604,285.7303216
L1FLnI_7q36.1o,694.9440774,524.4705682,688.4227375,479.6187541
L1FLnI_10q11.21i,694.9440774,477.2209675,734.3175866,454.1071183
L1FLnI_1q25.1i,686.7682648,718.1939313,562.2119023,591.8699519
L1FLnI_1q42.12g,686.7682648,529.1955283,665.4753129,551.0513345
L1FLnI_Xq27.3c,686.7682648,236.2480037,763.0018673,214.2977412
L1FLnI_6q25.2b,686.7682648,250.4228839,794.5545761,346.9582477
L1FLnI_1p21.3b,682.6803584,1110.365617,740.0544428,1061.284052
L1FLnI_7q31.1y,682.6803584,524.4705682,493.3696285,556.1536617
L1FLnI_9q22.33c,682.6803584,411.0715264,633.9226041,352.0605748
L1FLnI_12p12.3ga,682.6803584,415.7964865,622.4488918,438.8001367
L1FLnI_12p11.22h,678.5924521,661.4944104,616.7120356,622.4839149
L1FLnI_8q11.21d,678.5924521,893.017454,679.8174532,1061.284052
L1FLnI_8q11.21b,678.5924521,685.1192107,507.7117689,770.4514029
L1FLnI_7p21.1g,674.5045458,585.8950492,722.8438743,693.9164953
L1FLnI_8p11.21k,674.5045458,326.0222451,418.7904986,224.5023955
L1FLnI_Xq21.2r,674.5045458,411.0715264,849.0547095,331.6512661
L1FLnI_9q32a,674.5045458,420.5214466,487.6327724,500.0280628
L1FLnI_3q13.12i,670.4166394,292.9475246,476.1590601,275.5256673
L1FLnI_1p31.1ab,670.4166394,670.9443305,909.2916991,755.1444214
L1FLnI_1p13.3e,670.4166394,368.5468858,797.4230042,489.8234085
L1FLnI_14q23.3q,662.2408267,1299.36402,602.3698953,1066.386379
L1FLnI_9p24.1l,662.2408267,571.720169,745.7912989,454.1071183
L1FLnI_3p24.3d,662.2408267,704.019051,636.7910321,719.4281312
L1FLnI_11p14.3e,662.2408267,604.7948895,771.6071516,530.6420258
L1FLnI_2q11.2f,658.1529204,425.2464067,734.3175866,392.8791922
L1FLnI_2p15a,658.1529204,429.9713667,648.2647444,423.4931552
L1FLnI_6p21.31,658.1529204,453.5961671,711.370162,290.8326488
L1FLnI_11q22.3z,654.0650141,770.1684921,671.212169,581.6652975
L1FLnI_4q31.3a,654.0650141,1143.440338,524.9223373,857.1909648
L1FLnI_9q33.2b,654.0650141,978.0667353,745.7912989,943.9305267
L1FLnI_15q13.2c,654.0650141,311.8473649,654.0016006,270.4233401
L1FLnI_2q33.3i,649.9771077,637.86961,507.7117689,479.6187541
L1FLnI_2p13.1c,645.8892014,585.8950492,651.1331725,632.6885693
L1FLnI_5q31.3b,641.801295,841.0428932,651.1331725,892.907255
L1FLnI_1p22.1g,641.801295,661.4944104,697.0280217,612.2792606
L1FLnI_9p24.1e,641.801295,538.6454484,754.3965831,607.1769334
L1FLnI_7p14.2e,641.801295,590.6200093,608.1067514,658.2002051
L1FLnI_8q22.3l,641.801295,392.1716861,599.5014672,331.6512661
L1FLnI_4p16.2m,641.801295,340.1971253,628.1857479,474.5164269
L1FLnI_5q31.1a,637.7133887,562.2702488,427.3957828,576.5629704
L1FLnI_17p13.3a,637.7133887,387.4467261,464.6853478,413.2885009
L1FLnI_5p14.2b,637.7133887,557.5452887,691.2911655,387.776865
L1FLnI_21p11.2k,633.6254824,647.3195301,654.0016006,658.2002051
L1FLnI_3q25.33h,629.537576,392.1716861,476.1590601,612.2792606
L1FLnI_Xq13.2ja,625.4496697,415.7964865,869.133706,336.7535933
L1FLnI_4q21.21l,621.3617634,439.4212869,682.6858813,551.0513345
L1FLnI_Xq13.2ga,621.3617634,321.297285,585.1593268,290.8326488
L1FLnI_9p21.1x,621.3617634,486.6708876,582.2908988,295.9349759
L1FLnI_9p21.1ha,621.3617634,217.3481634,610.9751795,198.9907597
L1FLnI_10q21.1pa,617.273857,732.3688115,642.5278883,949.0328539
L1FLnI_7p22.1f,617.273857,453.5961671,633.9226041,505.13039
L1FLnI_11p15.4da,617.273857,278.7726444,556.4750461,244.9117042
L1FLnI_Xq21.1wb,613.1859507,373.2718459,539.2644777,556.1536617
L1FLnI_12p11.21d,613.1859507,529.1955283,550.73819,428.5954824
L1FLnI_Xq25fc,613.1859507,798.5182525,487.6327724,668.4048595
L1FLnI_9q22.32d,613.1859507,689.8441708,539.2644777,520.4373715
L1FLnI_4q12fb,613.1859507,600.0699294,639.6594602,668.4048595
L1FLnI_5p12j,609.0980443,831.592973,803.1598604,811.2700203
L1FLnI_Xp11.21ob,609.0980443,590.6200093,651.1331725,520.4373715
L1FLnI_4p15.31o,609.0980443,1072.565937,803.1598604,1025.567761
L1FLnI_11p13u,605.010138,623.6947298,737.1860147,714.325804
L1FLnI_2q33.1t,605.010138,623.6947298,823.2388569,551.0513345
L1FLnI_11q22.3aa,596.8343253,510.295688,479.0274881,530.6420258
L1FLnI_Xq13.2z,596.8343253,722.9188913,783.0808639,913.3165637
L1FLnI_8q22.2h,592.746419,774.8934522,717.1070182,994.9537984
L1FLnI_11q22.3a,592.746419,354.3720056,613.8436076,326.548939
L1FLnI_4p15.2x,588.6585127,618.9697697,711.370162,663.3025323
L1FLnI_6q14.2h,588.6585127,429.9713667,622.4488918,438.8001367
L1FLnI_2q34ba,588.6585127,240.9729638,656.8700287,306.1396303
L1FLnI_14q24.1e,584.5706063,623.6947298,499.1064847,505.13039
L1FLnI_3q13.33i,584.5706063,713.4689712,719.9754463,581.6652975
L1FLnI_1p33n,580.4827,226.7980836,421.6589267,214.2977412
L1FLnI_9p11.2c,580.4827,467.7710473,559.3434742,540.8466802
L1FLnI_13q22.1a,576.3947936,458.3211272,582.2908988,540.8466802
L1FLnI_4q24cb,576.3947936,609.5198496,803.1598604,704.1211497
L1FLnI_Xq11.1s,576.3947936,533.9204884,438.8694951,525.5396987
L1FLnI_5q13.2a,572.3068873,420.5214466,395.843074,454.1071183
L1FLnI_2p14a,572.3068873,311.8473649,665.4753129,382.6745379
L1FLnI_4p15.31p,572.3068873,373.2718459,545.0013338,326.548939
L1FLnI_Xq11.2fa,572.3068873,741.8187316,456.0800636,545.9490073
L1FLnI_8p21.2p,568.218981,935.5420947,648.2647444,1168.432922
L1FLnI_Xq22.3z,564.1310746,321.297285,501.9749127,346.9582477
L1FLnI_6q22.31ta,564.1310746,524.4705682,596.6330391,586.7676247
L1FLnI_5p13.2b,564.1310746,217.3481634,843.3178534,234.7070499
L1FLnI_Xp11.22ka,564.1310746,807.9681727,570.8171865,908.2142365
L1FLnI_Xq13.2ea,564.1310746,245.6979239,524.9223373,311.2419575
L1FLnI_13q32.1f,564.1310746,321.297285,593.7646111,352.0605748
L1FLnI_15q13.2e,560.0431683,288.2225645,421.6589267,357.162902
L1FLnI_10q11.22c,560.0431683,359.0969656,610.9751795,336.7535933
L1FLnI_4q26b,560.0431683,392.1716861,461.8169197,357.162902
L1FLnI_3p22.2e,560.0431683,770.1684921,461.8169197,612.2792606
