baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LAMC2	72949.084220869	1.87348318354947	0.110187795352038	17.0026378834779	7.85063149477007e-65	2.43829125498542e-62
H6PD	38899.1870206899	-2.11383665942288	0.124651403239122	-16.9579852652589	1.68007089198632e-64	5.15518620206115e-62
BIRC5	3532.79356138049	3.13788373074969	0.185499106822671	16.9158967096773	3.43547554623272e-64	1.04160346680303e-61
MYBL2	2753.40900919589	3.26623730884127	0.193885337802178	16.8462316225987	1.11816553351662e-63	3.35028703618838e-61
KIF20A	3239.11779188075	3.09657234828009	0.183891015717053	16.8391714853797	1.25988126992721e-63	3.73100653284956e-61
DTL	4185.65882984924	2.80717889720301	0.167134707632869	16.7959063498008	2.61479403212798e-63	7.65443384025693e-61
SCNN1B	17995.4982906905	-2.06014283991182	0.122769949268498	-16.7805138976337	3.38890723181144e-63	9.80780561133793e-61
MUC2	566.313392113692	4.83297387130846	0.288122772645353	16.7740086176989	3.78116943615873e-63	1.08200924943922e-60
SLC1A4	3033.53782147441	-3.11617209364699	0.185855149878377	-16.7666706878244	4.27817881777228e-63	1.21062953478916e-60
PSRC1	1179.9606146671	2.76166240713282	0.165259479827761	16.7110680126255	1.08868081988871e-62	3.0468706726292e-60
PRC1	4649.97253320124	2.66038858265958	0.159881476711169	16.6397548820847	3.59084959295667e-62	9.94040841667614e-60
PKMYT1	1580.4196177087	3.19581050563782	0.19209878927983	16.6362865566138	3.80494630384345e-62	1.04198249963747e-59
TUBB3	4333.12141027791	2.15052095857144	0.129692676984255	16.581668360755	9.45666060709254e-62	2.56215140788758e-59
TACC3	3447.53199133668	2.50946429042669	0.151469594282553	16.5674457788902	1.19807869006839e-61	3.21185979775387e-59
TGM2	3174.97872284861	2.20471291812523	0.133103916495965	16.5638470765213	1.27194814404266e-61	3.37437243046651e-59
UNC5B	24520.3802974472	-2.32747781340102	0.140810061768362	-16.5292009972257	2.26121146561486e-61	5.93696222745148e-59
CDK1	4109.67729014288	2.64884540865841	0.160314449746649	16.5228113426112	2.51401241735978e-61	6.46736042882008e-59
PLAT	6441.55240848587	2.65020399886601	0.160393637674769	16.5231242166839	2.50100247564173e-61	6.46736042882008e-59
GNAO1	1020.43226966933	-3.55088722150536	0.215021114512551	-16.5141327146181	2.90304251523504e-61	7.39346867780061e-59
APOBEC3C	13829.7338401084	1.987607282163	0.120703828555649	16.4668122456997	6.35311383115597e-61	1.60199111932555e-58
TNFRSF9	829.154214035049	-3.75388658288929	0.228351725294838	-16.4390550500217	1.0047332588816e-60	2.50868104286241e-58
IL1R1	12405.7020130524	-1.93934073614127	0.118109017950323	-16.4199209323454	1.37746106391559e-60	3.40593964813615e-58
PPFIA4	551.948497750361	3.90641142362589	0.239922291036282	16.2819861662423	1.32497796803525e-59	3.244667200954e-57
NRCAM	3688.75028330946	2.05290619300484	0.126686726032778	16.2045879413893	4.68013476999964e-59	1.13517783164144e-56
ERCC6L	689.796142358648	3.86538830249808	0.238735695922016	16.1910781191294	5.82981089353589e-59	1.39437950164719e-56
BUB1B	1849.24336675471	2.940058055483	0.181588431510464	16.1907784049205	5.85827731570008e-59	1.39437950164719e-56
SELENBP1	5148.6620724149	-2.04938215630299	0.126823400830566	-16.1593376528432	9.76047213816736e-59	2.3016639297671e-56
DDIAS	910.314193012234	2.97967107187666	0.184479686021504	16.1517570640777	1.10372402410508e-58	2.57886637118423e-56
GDPD1	1129.4965505258	-3.05313593202598	0.189467464420936	-16.1143019534102	2.02436987633356e-58	4.68696836458755e-56
LMNB1	3787.64934261612	2.04395903096515	0.12719409056472	16.0696068653058	4.16720785818162e-58	9.56130177767292e-56
UBE2C	1312.56685184461	3.02052276056715	0.188977611337598	15.9834952891385	1.66539900492064e-57	3.78699838011776e-55
NIBAN1	419.095383695628	-4.80408677782062	0.300601362031728	-15.981586860919	1.71718231687706e-57	3.87019462355973e-55
GGT5	4358.50436173891	-2.05121483332814	0.128615125152912	-15.9484728634322	2.9194899086762e-57	6.52224289422505e-55
FZD4	20822.2145951249	-2.03318489652877	0.127560455695387	-15.9389905393878	3.39798527469926e-57	7.52520773704703e-55
NT5E	7345.72177502835	2.62625525773396	0.165067523590673	15.9101875438953	5.38519368369253e-57	1.18232855807139e-54
PIF1	627.869711870588	3.59484988588032	0.22610359518	15.8991274907348	6.42534059009665e-57	1.39863738588531e-54
UHRF1	3759.90042279379	2.32748815090937	0.146847149767412	15.8497332402831	1.41178869666168e-56	3.04707072259149e-54
CCDC69	5754.75031187877	-2.076631525908	0.131276303704032	-15.8187842536293	2.30908423806691e-56	4.94182835084774e-54
TLCD2	1789.78036104	-2.31610455589515	0.146442765977539	-15.8157662513039	2.42244386989725e-56	5.14123337321193e-54
CDCA8	1323.34789260288	2.81535499129882	0.178319982493875	15.7882193118515	3.75017685146981e-56	7.89334744241597e-54
ABCA3	1720.66574450248	-2.36111397334425	0.149638161531086	-15.7788223885238	4.35232511255988e-56	9.08565704644878e-54
TSC22D3	12477.9724148984	-2.13834624764432	0.136300660985457	-15.6884510477354	1.81428837964396e-55	3.75660946770508e-53
MELK	2999.01355400924	2.36597400167936	0.150913609134082	15.6776715847891	2.14991895213543e-55	4.41565611878912e-53
INHBA	349.185658655134	5.3080452141131	0.338962967724146	15.6596611416055	2.85413850337934e-55	5.7689840796877e-53
KIF2C	2202.15492817034	3.11241748469636	0.198752222309377	15.6597870883254	2.84849213301514e-55	5.7689840796877e-53
TUBB6	14882.9930957144	1.76210714850024	0.113256141475701	15.5586012867859	1.39105691544923e-54	2.78956200965834e-52
CDC6	2000.67755969875	2.48444484413316	0.160614878508937	15.4683356062491	5.67555746027208e-54	1.12925857342351e-51
ZWINT	2197.65932315398	2.95650690937164	0.191157724706684	15.4663219281782	5.85586740033925e-54	1.15610256551814e-51
CCBE1	4029.12267396056	2.46503014314169	0.159572755508037	15.4476880172539	7.81984108012545e-54	1.53196702022027e-51
KIFC1	1325.56451126247	3.19141041994039	0.206830432676573	15.4300814374396	1.02740491840129e-53	1.99740064594229e-51
SKA3	916.619878312844	2.87147535796356	0.186316619860758	15.4118047016393	1.36350154102784e-53	2.63073160961342e-51
SLC37A2	3609.51712007213	1.96969800092207	0.127963837936685	15.3926142938652	1.83467324339578e-53	3.51319234306794e-51
