Gene_ID	DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
RPH3AL-AS1	0	0	0	0
LOC105371425	0	0	0	0
RPH3AL	189	246	199	181
LOC124903606	0	0	0	0
LOC107984761	0	0	0	0
LOC107984089	0	0	0	3
FMN1	991	1274	527	885
GREM1-AS1	0	0	0	0
GREM1	0	0	2	4
LOC105370756	0	0	0	0
SCG5-AS1	0	0	0	0
SCG5	2	3	40	32
ARHGAP11A-SCG5	10	4	5	3
ARHGAP11A	1015	1162	3382	3612
RN7SL286P	0	0	0	0
GOLGA8N	606	414	355	303
ARHGAP11A-DT	21	42	4	7
LINC02256	303	269	212	140
WHAMMP1	534	685	417	526
LOC107984723	0	0	0	0
LOC101060588	0	0	0	0
RNU6-18P	0	0	0	0
LOC102724078	0	0	1	6
CHRNA7	0	0	4	8
LOC124903441	0	0	0	0
LOC124900362	0	0	0	0
DEPDC1P1	2	3	6	9
OTUD7A	140	159	68	51
LOC400347	0	0	0	0
UBE2CP4	0	0	0	0
LOC105370939	8	13	8	9
KLF13	42987	41064	32396	31712
LINC03034	0	4	8	3
LOC107984092	0	0	0	0
LINC02352	12	10	8	8
LOC107984779	0	0	0	0
MIR211	0	0	0	0
LOC105370752	0	0	0	2
TRPM1	1	0	0	0
RNU6-466P	7	0	6	9
MTMR10	2637	2835	2176	2423
FAN1	7003	7398	7502	7863
LOC388104	0	0	0	0
LOC100629121	0	0	0	0
HERC2P10	0	14	7	4
LOC124903453	0	7	5	0
LOC124900565	0	0	0	0
RN7SL82P	0	1	0	0
LOC124905372	0	0	0	0
LOC101930434	1	3	0	1
LOC100288637	374	483	880	1039
ARHGAP11B	218	262	524	658
RN7SL628P	1	0	1	1
GOLGA8H	81	82	57	53
ARHGAP11B-DT	109	99	13	25
LOC124900357	0	0	0	0
ULK4P1	1	0	3	2
DNM1P29	0	0	0	0
RN7SL196P	0	0	0	0
LOC100288482	0	0	0	0
GOLGA8R	96	98	49	51
LOC105376704	360	325	276	240
MPHOSPH10P3	0	0	0	1
LOC124903452	0	1	0	0
RN7SL796P	0	0	0	0
GOLGA8Q	105	92	54	83
DNM1P50	4	2	0	0
ULK4P2	20	56	21	52
LOC124900358	0	0	0	0
LOC105370751	0	0	0	2
CHRFAM7A	0	3	0	0
RNU6-17P	0	0	0	0
LOC728424	0	0	0	0
LINC02249	0	0	0	0
LOC105370747	0	0	0	0
LOC105370746	0	0	0	0
DNM1P30	0	0	0	0
RN7SL469P	0	0	0	0
LOC101929922	0	0	0	0
GOLGA8T	44	39	14	21
LOC124900359	0	0	0	0
ULK4P3	0	0	0	1
DNM1P28	0	0	0	0
RN7SL673P	0	0	0	0
GOLGA8J	15	10	6	9
SYNGR2P1	1	1	0	1
NCAPGP2	0	3	0	0
HMGN2P5	15	40	20	41
TJP1	18923	21277	17264	21970
LOC105370743	8	2	4	13
LOC100130111	0	0	2	0
TUBBP8	0	0	0	0
NSMCE3	1503	1515	1060	1288
LOC100420707	1	0	1	0
FAM189A1	0	2	0	0
APBA2	6	2	15	8
PDCD6IPP2	4	9	11	9
LOC100289656	0	0	0	0
LOC100996670	0	0	0	0
WHAMMP2	137	142	151	109
RN7SL719P	0	0	0	0
LOC107984746	0	0	0	0
