Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_000690.3	25.47746389	-2.307589302	0.651694721	-3.540905316	0.000398757	0.00357344
NM_000692.4	2396.908856	0.695048829	0.117162074	5.932370488	2.99E-09	7.69E-08
NM_000693.3	2320.583987	1.741160014	0.399334609	4.360153049	1.30E-05	0.000170617
NM_000694.3	450.6246981	-0.88347199	0.183878236	-4.804657751	1.55E-06	2.54E-05
NM_000696.3	5842.608516	-1.042557793	0.112093591	-9.300779669	1.39E-20	1.37E-18
NM_000700.2	7765.980563	0.511060705	0.138089176	3.700946874	0.000214796	0.002068155
NM_000701.7	21116.34342	-0.573073045	0.103970476	-5.511882503	3.55E-08	7.60E-07
NM_000709.3	1336.614404	-1.496990864	0.130728667	-11.45112925	2.32E-30	4.74E-28
NM_000710.3	149.5786223	4.212620131	0.358129896	11.76282734	6.07E-32	1.34E-29
NM_000713.2	1580.85761	-0.935536917	0.128130253	-7.301452211	2.85E-13	1.28E-11
NM_000723.4	67.43391857	-1.824398256	0.394090554	-4.629388441	3.67E-06	5.51E-05
NM_000754.3	645.2630817	-0.512068634	0.153655407	-3.332578036	0.000860453	0.006877352
NM_000755.3	340.066554	-1.464592806	0.231422387	-6.328656546	2.47E-10	7.69E-09
NM_000758.3	4.07060214	5.482616666	2.021351251	2.712352276	0.006680755	0.038390574
NM_000759.3	878.4184219	2.045831541	0.176303797	11.60401295	3.93E-31	8.29E-29
NM_000779.3	340.4734176	-2.007927554	0.225896175	-8.888718678	6.18E-19	5.35E-17
NM_000782.4	6.276826435	6.109722286	1.835457514	3.328718991	0.000872464	0.006961076
NM_000785.3	1271.305981	0.424389853	0.146959069	2.88780989	0.003879343	0.024559119
NM_000788.2	668.52069	0.714614212	0.156353777	4.570495358	4.87E-06	7.09E-05
NM_000791.3	568.6810835	0.974001828	0.175169379	5.560342995	2.69E-08	5.91E-07
NM_000801.4	3394.120833	0.474468713	0.119308622	3.976818308	6.98E-05	0.000768818
NM_000807.2	64.82925064	3.058255476	0.460240095	6.644913191	3.03E-11	1.06E-09
NM_000821.6	366.1310005	-0.799456448	0.191788345	-4.168430826	3.07E-05	0.000367989
